timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759607080564,279,Petición HTTP,201,Created,Grupo de Hilos 1-7,text,true,,895,235,8,8,https://fakestoreapi.com/auth/login,279,0,0
1759607080660,274,Petición HTTP,201,Created,Grupo de Hilos 1-8,text,true,,894,235,8,8,https://fakestoreapi.com/auth/login,274,0,0
1759607080761,275,Petición HTTP,201,Created,Grupo de Hilos 1-3,text,true,,894,237,8,8,https://fakestoreapi.com/auth/login,275,0,0
1759607080758,285,Petición HTTP,201,Created,Grupo de Hilos 1-2,text,true,,892,236,8,8,https://fakestoreapi.com/auth/login,285,0,0
1759607080836,280,Petición HTTP,201,Created,Grupo de Hilos 1-5,text,true,,895,235,8,8,https://fakestoreapi.com/auth/login,280,0,0
1759607080842,280,Petición HTTP,201,Created,Grupo de Hilos 1-1,text,true,,893,241,8,8,https://fakestoreapi.com/auth/login,280,0,0
1759607080843,279,Petición HTTP,201,Created,Grupo de Hilos 1-7,text,true,,896,235,8,8,https://fakestoreapi.com/auth/login,279,0,0
1759607080934,277,Petición HTTP,201,Created,Grupo de Hilos 1-8,text,true,,892,236,8,8,https://fakestoreapi.com/auth/login,277,0,0
1759607081036,277,Petición HTTP,201,Created,Grupo de Hilos 1-3,text,true,,902,237,8,8,https://fakestoreapi.com/auth/login,277,0,0
1759607081043,278,Petición HTTP,201,Created,Grupo de Hilos 1-2,text,true,,899,235,8,8,https://fakestoreapi.com/auth/login,278,0,0
1759607081122,277,Petición HTTP,201,Created,Grupo de Hilos 1-1,text,true,,902,235,8,8,https://fakestoreapi.com/auth/login,277,0,0
1759607081116,283,Petición HTTP,201,Created,Grupo de Hilos 1-5,text,true,,907,241,8,8,https://fakestoreapi.com/auth/login,283,0,0
1759607081122,277,Petición HTTP,201,Created,Grupo de Hilos 1-7,text,true,,898,236,8,8,https://fakestoreapi.com/auth/login,277,0,0
1759607081211,278,Petición HTTP,201,Created,Grupo de Hilos 1-8,text,true,,896,237,8,8,https://fakestoreapi.com/auth/login,278,0,0
1759607081314,276,Petición HTTP,201,Created,Grupo de Hilos 1-3,text,true,,891,235,8,8,https://fakestoreapi.com/auth/login,276,0,0
1759607081321,280,Petición HTTP,201,Created,Grupo de Hilos 1-2,text,true,,909,241,8,8,https://fakestoreapi.com/auth/login,280,0,0
